SK_ID_CURR,SK_ID_BUREAU,DAYS_CREDIT
215354,5714462,-497
215354,5714463,-208
215354,5714464,-203
215354,5714465,-203
215354,5714466,-629
215354,5714467,-273
215354,5714468,-43
162297,5714469,-1896
162297,5714470,-1146
162297,5714471,-1146
162297,5714472,-1146
162297,5714473,-2456
162297,5714474,-277
402440,5714475,-96
238881,5714482,-318
238881,5714484,-2911
238881,5714485,-2148
238881,5714486,-381
238881,5714487,-95
238881,5714488,-444
238881,5714489,-392
222183,5714491,-784
222183,5714492,-774
222183,5714493,-395
222183,5714495,-2744
222183,5714496,-1103
222183,5714497,-315
426155,5714498,-1331
426155,5714499,-2534
426155,5714500,-845
426155,5714501,-529
136226,5714502,-521
136226,5714503,-559
400486,5714504,-2413
400486,5714506,-941
400486,5714507,-1110
400486,5714508,-2133
400486,5714509,-391
435112,5714512,-1412
435112,5714513,-1590
435112,5714514,-1181
435112,5714516,-1475
435112,5714517,-1411
435112,5714518,-1483
435112,5714519,-1589
435112,5714520,-829
435112,5714521,-739
435112,5714522,-508
435112,5714523,-416
452585,5714524,-2642
452585,5714525,-2538
452585,5714527,-42
452585,5714528,-2898
389599,5714529,-672
389599,5714530,-1304
389599,5714531,-1253
389599,5714532,-1130
389599,5714533,-831
389599,5714534,-329
389599,5714536,-700
242993,5714537,-2785
242993,5714538,-683
242993,5714539,-744
242993,5714541,-801
242993,5714542,-1841
242993,5714543,-2237
242993,5714544,-1201
242993,5714545,-1844
242993,5714547,-705
242993,5714548,-605
242993,5714549,-564
242993,5714550,-382
242993,5714551,-865
303740,5714552,-1423
303740,5714553,-666
303740,5714554,-581
303740,5714555,-433
234931,5714557,-1272
234931,5714558,-1602
234931,5714559,-1273
234931,5714560,-371
234931,5714561,-2638
234931,5714562,-1495
311918,5714563,-2904
311918,5714564,-146
119939,5714566,-2279
119939,5714567,-2247
119939,5714568,-1447
119939,5714569,-1390
119939,5714570,-1390
119939,5714571,-733
119939,5714573,-1188
119939,5714574,-437
119939,5714575,-944
119939,5714577,-1102
119939,5714578,-1572
119939,5714579,-1791
119939,5714580,-2401
119939,5714581,-1624
119939,5714582,-1617
119939,5714583,-937
119939,5714585,-314
388421,5714587,-685
388421,5714590,-325
388421,5714591,-674
388421,5714593,-378
419892,5714594,-1697
419892,5714595,-1238
419892,5714596,-381
419892,5714597,-584
387080,5714598,-983
387080,5714600,-1104
387080,5714601,-1766
387080,5714602,-1082
387080,5714603,-1239
387080,5714604,-681
387080,5714606,-2897
387080,5714607,-1603
387080,5714608,-2093
387080,5714609,-69
387080,5714610,-2299
387080,5714611,-549
387080,5714612,-388
387080,5714614,-18
293201,5714620,-2730
293201,5714621,-2389
293201,5714622,-2255
293201,5714624,-1425
293201,5714625,-2540
338464,5714626,-2655
338464,5714627,-2539
338464,5714628,-2343
338464,5714629,-857
338464,5714630,-857
338464,5714631,-1131
338464,5714633,-1706
338464,5714634,-140
444864,5714635,-2209
444864,5714636,-2130
444864,5714637,-1125
444864,5714638,-1872
444864,5714639,-2030
444864,5714640,-1776
444864,5714642,-1124
444864,5714643,-1871
444864,5714644,-2129
444864,5714645,-1416
444864,5714646,-312
444864,5714647,-286
253882,5714648,-1341
253882,5714649,-758
253882,5714650,-1531
253882,5714651,-770
335122,5714653,-1189
335122,5714654,-2426
335122,5714655,-644
335122,5714656,-885
335122,5714657,-2740
351919,5714658,-769
406724,5714661,-1293
406724,5714662,-1433
406724,5714663,-1432
406724,5714665,-167
389074,5714667,-957
389074,5714668,-705
389074,5714669,-1049
373324,5714674,-837
373324,5714675,-341
373324,5714676,-586
373324,5714677,-1439
373324,5714679,-577
373324,5714681,-2819
373324,5714682,-2673
373324,5714683,-1438
373324,5714684,-1913
373324,5714685,-1593
373324,5714686,-986
373324,5714687,-2455
373324,5714688,-2216
373324,5714689,-1805
286014,5714690,-137
241216,5714692,-259
241216,5714693,-199
166034,5714697,-1283
166034,5714698,-828
166034,5714699,-828
166034,5714700,-1207
166034,5714701,-706
166034,5714702,-262
166034,5714704,-718
166034,5714705,-612
399459,5714708,-1141
399459,5714709,-49
173404,5714710,-1103
173404,5714711,-1166
173404,5714712,-45
173404,5714713,-1165
280788,5714715,-221
280788,5714716,-221
280788,5714717,-728
280788,5714718,-637
280788,5714719,-430
280788,5714720,-120
312983,5714722,-656
312983,5714723,-2128
312983,5714724,-1923
312983,5714725,-1278
272136,5714726,-177
272136,5714727,-220
415899,5714728,-496
415899,5714729,-500
415899,5714730,-122
451241,5714733,-2309
451241,5714734,-1729
451241,5714735,-1010
451241,5714736,-1728
451241,5714737,-1321
451241,5714738,-997
451241,5714741,-594
451241,5714742,-460
451241,5714743,-455
383257,5714745,-257
383257,5714746,-601
383257,5714748,-140
383257,5714749,-140
435368,5714751,-2915
435368,5714752,-2335
435368,5714754,-1360
435368,5714755,-1574
435368,5714756,-1641
435368,5714757,-369
435368,5714758,-265
435368,5714759,-2630
227903,5714763,-1847
227903,5714764,-1844
227903,5714765,-1930
228777,5714770,-2264
228777,5714772,-1419
228777,5714773,-1222
228777,5714774,-838
228777,5714775,-1057
228777,5714776,-1144
228777,5714777,-1298
228777,5714779,-728
228777,5714780,-1547
228777,5714781,-728
228777,5714782,-90
228777,5714783,-46
304102,5714784,-1509
266501,5714785,-597
266501,5714786,-1445
266501,5714787,-1575
266501,5714788,-1491
417300,5714790,-1253
417300,5714791,-2427
417300,5714792,-740
417300,5714793,-521
417300,5714794,-41
417300,5714795,-2730
416951,5714796,-751
416951,5714798,-1623
416951,5714799,-1096
225481,5714800,-2639
225481,5714801,-1138
148089,5714802,-2502
148089,5714803,-2311
148089,5714804,-1475
148089,5714805,-791
390784,5714807,-1537
390784,5714808,-514
390784,5714809,-636
346919,5714810,-2499
346919,5714811,-2308
346919,5714812,-2287
346919,5714814,-194
346919,5714815,-318
346919,5714817,-1296
346919,5714818,-1043
346919,5714819,-1086
346919,5714820,-1977
346919,5714821,-1602
346919,5714823,-699
346919,5714824,-310
233234,5714825,-929
233234,5714826,-1435
233234,5714827,-35
233234,5714828,-360
181326,5714829,-360
181326,5714830,-1369
297876,5714833,-2738
297876,5714836,-441
297876,5714837,-1231
297876,5714838,-598
297876,5714839,-124
278778,5714840,-180
198319,5714841,-126
198319,5714842,-1378
333498,5714844,-2805
333498,5714845,-2711
333498,5714846,-1314
333498,5714847,-1290
333498,5714848,-2688
333498,5714849,-816
333498,5714850,-914
333498,5714853,-2321
333498,5714854,-1529
333498,5714855,-1037
152965,5714856,-2738
152965,5714857,-930
152965,5714859,-400
152965,5714860,-249
152965,5714861,-2163
346232,5714862,-2841
346232,5714863,-2714
346232,5714864,-2671
348530,5714868,-1864
348530,5714869,-347
348530,5714870,-317
348530,5714871,-147
348530,5714872,-317
348530,5714873,-2145
348530,5714875,-1530
348530,5714876,-1117
271160,5714880,-1736
271160,5714881,-1736
271160,5714882,-1582
271160,5714885,-2231
271160,5714886,-2317
271160,5714887,-2246
271160,5714888,-1231
271160,5714889,-36
182982,5714890,-2627
182982,5714891,-2314
182982,5714892,-1431
259670,5714893,-1068
259670,5714894,-712
259670,5714896,-532
259670,5714897,-523
354574,5714902,-2290
354574,5714903,-2428
354574,5714904,-899
354574,5714905,-553
450549,5714907,-1145
450549,5714908,-2250
450549,5714909,-2238
450549,5714910,-1658
450549,5714911,-1133
251360,5714913,-1531
251360,5714914,-1300
251360,5714915,-814
251360,5714916,-140
