SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,FLAG_MOBIL,REGION_POPULATION_RELATIVE,OWN_CAR_AGE
100002,1,Cash loans,M,N,Y,0,202500.0,1,0.018801,
100003,0,Cash loans,F,N,N,0,270000.0,1,0.003540999999999999,
100004,0,Revolving loans,M,Y,Y,0,67500.0,1,0.010032,26.0
100006,0,Cash loans,F,N,Y,0,135000.0,1,0.008019,
100007,0,Cash loans,M,N,Y,0,121500.0,1,0.028663,
100008,0,Cash loans,M,N,Y,0,99000.0,1,0.035792000000000004,
100009,0,Cash loans,F,Y,Y,1,171000.0,1,0.035792000000000004,17.0
100010,0,Cash loans,M,Y,Y,0,360000.0,1,0.003122,8.0
100011,0,Cash loans,F,N,Y,0,112500.0,1,0.018634,
100012,0,Revolving loans,M,N,Y,0,135000.0,1,0.019689,
100014,0,Cash loans,F,N,Y,1,112500.0,1,0.0228,
100015,0,Cash loans,F,N,Y,0,38419.155,1,0.015221,
100016,0,Cash loans,F,N,Y,0,67500.0,1,0.031329,
100017,0,Cash loans,M,Y,N,1,225000.0,1,0.016612000000000002,23.0
100018,0,Cash loans,F,N,Y,0,189000.0,1,0.010006,
100019,0,Cash loans,M,Y,Y,0,157500.0,1,0.020713,17.0
100020,0,Cash loans,M,N,N,0,108000.0,1,0.018634,
100021,0,Revolving loans,F,N,Y,1,81000.0,1,0.010966,
100022,0,Revolving loans,F,N,Y,0,112500.0,1,0.04622,
100023,0,Cash loans,F,N,Y,1,90000.0,1,0.015221,
100024,0,Revolving loans,M,Y,Y,0,135000.0,1,0.015221,7.0
100025,0,Cash loans,F,Y,Y,1,202500.0,1,0.025164,14.0
100026,0,Cash loans,F,N,N,1,450000.0,1,0.020713,
100027,0,Cash loans,F,N,Y,0,83250.0,1,0.006296,
100029,0,Cash loans,M,Y,N,2,135000.0,1,0.026392,7.0
100030,0,Cash loans,F,N,Y,0,90000.0,1,0.028663,
100031,1,Cash loans,F,N,Y,0,112500.0,1,0.018029,
100032,0,Cash loans,M,N,Y,1,112500.0,1,0.019101,
100033,0,Cash loans,M,Y,Y,0,270000.0,1,0.04622,1.0
100034,0,Revolving loans,M,N,Y,0,90000.0,1,0.030755,
100035,0,Cash loans,F,N,Y,0,292500.0,1,0.025164,
100036,0,Cash loans,F,N,Y,0,112500.0,1,0.008575,
100037,0,Cash loans,F,N,N,0,90000.0,1,0.010032,
100039,0,Cash loans,M,Y,N,1,360000.0,1,0.015221,3.0
100040,0,Cash loans,F,N,Y,0,135000.0,1,0.019689,
100041,0,Cash loans,F,N,N,0,112500.0,1,0.008575,
100043,0,Cash loans,F,N,Y,2,198000.0,1,0.01885,
100044,0,Cash loans,M,N,Y,0,121500.0,1,0.030755,
100045,0,Cash loans,F,N,Y,0,99000.0,1,0.006207,
100046,0,Revolving loans,M,Y,Y,0,180000.0,1,0.025164,3.0
100047,1,Cash loans,M,N,Y,0,202500.0,1,0.025164,
100048,0,Cash loans,F,N,Y,0,202500.0,1,0.009175,
100049,1,Cash loans,F,N,N,0,135000.0,1,0.007305,
100050,0,Cash loans,F,N,Y,0,108000.0,1,0.010966,
100051,0,Cash loans,M,N,Y,0,202500.0,1,0.007114,
100052,0,Revolving loans,F,N,Y,1,90000.0,1,0.009334,
100053,0,Cash loans,F,N,Y,0,202500.0,1,0.019689,
100054,0,Cash loans,F,N,Y,0,99000.0,1,0.022625,
100055,0,Cash loans,F,N,N,0,130500.0,1,0.020713,
100056,0,Cash loans,M,Y,Y,0,360000.0,1,0.010006,3.0
100058,0,Revolving loans,F,N,Y,0,54000.0,1,0.014519999999999996,
100059,0,Cash loans,M,Y,Y,1,540000.0,1,0.026392,7.0
100060,0,Cash loans,M,Y,N,0,76500.0,1,0.028663,13.0
100061,0,Cash loans,F,N,Y,2,225000.0,1,0.006629,
100062,0,Cash loans,M,Y,N,0,81000.0,1,0.010006,8.0
100063,0,Cash loans,F,N,Y,0,180000.0,1,0.022625,
